0.00	257.00	187.00	91.00	150.00	80.00	130.00	134.00	243.00	185.00	214.00	70.00	272.00	219.00	293.00	54.00	211.00	290.00	268.00	261.00	175.00	250.00	192.00	121.00	
257.00	0.00	196.00	228.00	112.00	196.00	167.00	154.00	209.00	86.00	223.00	191.00	180.00	83.00	50.00	219.00	74.00	139.00	53.00	43.00	128.00	99.00	228.00	142.00	
187.00	196.00	0.00	158.00	96.00	88.00	59.00	63.00	286.00	124.00	49.00	121.00	315.00	172.00	232.00	92.00	81.00	98.00	138.00	200.00	76.00	89.00	235.00	99.00	
91.00	228.00	158.00	0.00	120.00	77.00	101.00	105.00	159.00	156.00	185.00	27.00	188.00	149.00	264.00	82.00	182.00	261.00	239.00	232.00	146.00	221.00	108.00	84.00	
150.00	112.00	96.00	120.00	0.00	63.00	56.00	34.00	190.00	40.00	123.00	83.00	193.00	79.00	148.00	119.00	105.00	144.00	123.00	98.00	32.00	105.00	119.00	35.00	
80.00	196.00	88.00	77.00	63.00	0.00	25.00	29.00	216.00	124.00	115.00	47.00	245.00	139.00	232.00	31.00	150.00	176.00	207.00	200.00	76.00	189.00	165.00	29.00	
130.00	167.00	59.00	101.00	56.00	25.00	0.00	22.00	229.00	95.00	86.00	64.00	258.00	134.00	203.00	43.00	121.00	164.00	178.00	171.00	47.00	160.00	178.00	42.00	
134.00	154.00	63.00	105.00	34.00	29.00	22.00	0.00	225.00	82.00	90.00	68.00	228.00	112.00	190.00	58.00	108.00	136.00	165.00	131.00	30.00	147.00	154.00	36.00	
243.00	209.00	286.00	159.00	190.00	216.00	229.00	225.00	0.00	207.00	313.00	173.00	29.00	126.00	248.00	238.00	310.00	389.00	367.00	166.00	222.00	349.00	71.00	220.00	
185.00	86.00	124.00	156.00	40.00	124.00	95.00	82.00	207.00	0.00	151.00	119.00	159.00	62.00	122.00	147.00	37.00	116.00	86.00	90.00	56.00	76.00	136.00	70.00	
214.00	223.00	49.00	185.00	123.00	115.00	86.00	90.00	313.00	151.00	0.00	148.00	342.00	199.00	259.00	84.00	160.00	147.00	187.00	227.00	103.00	138.00	262.00	126.00	
70.00	191.00	121.00	27.00	83.00	47.00	64.00	68.00	173.00	119.00	148.00	0.00	209.00	153.00	227.00	53.00	145.00	224.00	202.00	195.00	109.00	184.00	110.00	55.00	
272.00	180.00	315.00	188.00	193.00	245.00	258.00	228.00	29.00	159.00	342.00	209.00	0.00	97.00	219.00	267.00	196.00	275.00	227.00	137.00	225.00	235.00	74.00	249.00	
219.00	83.00	172.00	149.00	79.00	139.00	134.00	112.00	126.00	62.00	199.00	153.00	97.00	0.00	134.00	170.00	99.00	178.00	130.00	69.00	104.00	138.00	96.00	104.00	
293.00	50.00	232.00	264.00	148.00	232.00	203.00	190.00	248.00	122.00	259.00	227.00	219.00	134.00	0.00	255.00	125.00	154.00	68.00	82.00	164.00	114.00	264.00	178.00	
54.00	219.00	92.00	82.00	119.00	31.00	43.00	58.00	238.00	147.00	84.00	53.00	267.00	170.00	255.00	0.00	173.00	190.00	230.00	223.00	99.00	212.00	187.00	60.00	
211.00	74.00	81.00	182.00	105.00	150.00	121.00	108.00	310.00	37.00	160.00	145.00	196.00	99.00	125.00	173.00	0.00	79.00	57.00	90.00	57.00	39.00	182.00	96.00	
290.00	139.00	98.00	261.00	144.00	176.00	164.00	136.00	389.00	116.00	147.00	224.00	275.00	178.00	154.00	190.00	79.00	0.00	86.00	176.00	112.00	40.00	261.00	175.00	
268.00	53.00	138.00	239.00	123.00	207.00	178.00	165.00	367.00	86.00	187.00	202.00	227.00	130.00	68.00	230.00	57.00	86.00	0.00	90.00	114.00	46.00	239.00	153.00	
261.00	43.00	200.00	232.00	98.00	200.00	171.00	131.00	166.00	90.00	227.00	195.00	137.00	69.00	82.00	223.00	90.00	176.00	90.00	0.00	134.00	136.00	165.00	146.00	
175.00	128.00	76.00	146.00	32.00	76.00	47.00	30.00	222.00	56.00	103.00	109.00	225.00	104.00	164.00	99.00	57.00	112.00	114.00	134.00	0.00	96.00	151.00	47.00	
250.00	99.00	89.00	221.00	105.00	189.00	160.00	147.00	349.00	76.00	138.00	184.00	235.00	138.00	114.00	212.00	39.00	40.00	46.00	136.00	96.00	0.00	221.00	135.00	
192.00	228.00	235.00	108.00	119.00	165.00	178.00	154.00	71.00	136.00	262.00	110.00	74.00	96.00	264.00	187.00	182.00	261.00	239.00	165.00	151.00	221.00	0.00	169.00	
121.00	142.00	99.00	84.00	35.00	29.00	42.00	36.00	220.00	70.00	126.00	55.00	249.00	104.00	178.00	60.00	96.00	175.00	153.00	146.00	47.00	135.00	169.00	0.00	
